id_factura,importe_de_venta,importe_coste,tipo,horas_totales,horas_facturadas,fecha,contador_de_serie_de_factura,nº_documento,cliente,forma_de_pago,base_total,descuento,iva_total,total_factura,fecha_cliente
11.0,347.56,261.72,Venta accesorios,0,0,2016-06-03,1.0,319.0,id_643,1,347.56,0.0,72.99,420.55,2016-04-08 13:01:00
16.0,23.4,18.0,RMM,0,0,2016-06-03,1.0,324.0,id_162,1,23.4,0.0,4.91,28.31,2016-04-08 13:00:00
24829.0,22.5,0.0,Horas sueltas,0,0,2016-01-05,1.0,14.0,id_162,1,42.0,0.0,8.82,50.82,2016-04-08 13:00:00
24829.0,19.5,15.75,Licencia SW,0,0,2016-01-05,1.0,14.0,id_162,1,42.0,0.0,8.82,50.82,2016-04-08 13:00:00
24849.0,195.0,0.0,Horas sueltas,0,0,2016-01-13,1.0,25.0,id_913,1,280.0,0.0,58.8,338.8,2016-04-08 13:01:00
24849.0,70.0,55.0,Venta de equipos,0,0,2016-01-13,1.0,25.0,id_913,1,280.0,0.0,58.8,338.8,2016-04-08 13:01:00
24856.0,565.16,441.16,Venta accesorios,0,0,2016-01-15,1.0,32.0,id_643,1,880.16,0.0,184.83,1064.99,2016-04-08 13:01:00
24856.0,315.0,249.0,Venta de equipos,0,0,2016-01-15,1.0,32.0,id_643,1,880.16,0.0,184.83,1064.99,2016-04-08 13:01:00
24864.0,52.5,0.0,Horas sueltas,0,0,2016-01-19,1.0,37.0,id_916,1,52.5,0.0,11.03,63.53,2016-04-08 13:01:00
24866.0,80.0,0.0,Mantenimiento SW,0,0,2016-01-20,1.0,38.0,id_913,1,80.0,0.0,16.8,96.8,2016-04-08 13:01:00
24867.0,459.0,0.0,Horas sueltas,0,0,2016-01-20,1.0,39.0,id_643,1,457.87,0.0,96.15,554.02,2016-04-08 13:01:00
24867.0,14.0,11.0,Venta de equipos,0,0,2016-01-20,1.0,39.0,id_643,1,457.87,0.0,96.15,554.02,2016-04-08 13:01:00
24867.0,81.02,60.76,Venta accesorios,0,0,2016-01-20,1.0,39.0,id_643,1,457.87,0.0,96.15,554.02,2016-04-08 13:01:00
24887.0,282.0,0.0,Desarrollo SW,0,0,2016-01-22,1.0,46.0,id_803,1,282.0,0.0,59.22,341.22,2016-04-08 13:01:00
24894.0,41.6,32.54,Venta accesorios,0,0,2016-01-27,1.0,53.0,id_643,1,41.6,0.0,8.74,50.34,2016-04-08 13:01:00
24896.0,81.0,64.07,Licencia SW,0,0,2016-01-29,1.0,55.0,id_162,1,81.0,0.0,17.01,98.01,2016-04-08 13:00:00
24924.0,45.0,0.0,Horas sueltas,0,0,2016-02-05,1.0,74.0,id_913,1,45.0,0.0,9.45,54.45,2016-04-08 13:01:00
24946.0,484.77,367.92,Venta accesorios,0,0,2016-02-15,1.0,83.0,id_643,1,484.77,0.0,101.8,586.57,2016-04-08 13:01:00
24956.0,412.0,318.5,Venta de equipos,0,0,2016-02-17,1.0,90.0,id_643,1,412.0,0.0,86.52,498.52,2016-04-08 13:01:00
24960.0,459.0,0.0,Horas sueltas,0,0,2016-02-18,1.0,92.0,id_643,1,700.7,0.0,147.15,847.85,2016-04-08 13:01:00
24960.0,241.7,171.0,Venta de equipos,0,0,2016-02-18,1.0,92.0,id_643,1,700.7,0.0,147.15,847.85,2016-04-08 13:01:00
24961.0,217.15,217.15,Venta de equipos,0,0,2016-02-18,1.0,93.0,id_643,1,217.15,0.0,45.6,262.75,2016-04-08 13:01:00
24995.0,3683.0,0.0,Desarrollo SW,0,0,2016-02-26,1.0,108.0,id_803,1,3683.0,0.0,773.43,4456.43,2016-04-08 13:01:00
24996.0,200.0,200.0,Venta de equipos,0,0,2016-02-26,1.0,109.0,id_643,1,200.0,0.0,42.0,242.0,2016-04-08 13:01:00
25001.0,80.0,0.0,Horas sueltas,0,0,2016-03-01,1.0,114.0,id_913,1,102.0,0.0,21.42,123.42,2016-04-08 13:01:00
25001.0,22.0,18.5,Venta de equipos,0,0,2016-03-01,1.0,114.0,id_913,1,102.0,0.0,21.42,123.42,2016-04-08 13:01:00
25010.0,459.0,0.0,Horas sueltas,0,0,2016-03-01,1.0,120.0,id_751,1,891.0,0.0,187.11,1078.11,2016-04-08 13:01:00
25010.0,432.0,337.5,Venta de equipos,0,0,2016-03-01,1.0,120.0,id_751,1,891.0,0.0,187.11,1078.11,2016-04-08 13:01:00
25021.0,169.0,132.61,Venta de equipos,0,0,2016-03-02,1.0,126.0,id_162,1,206.5,0.0,43.37,249.87,2016-04-08 13:00:00
25021.0,37.5,0.0,Horas sueltas,0,0,2016-03-02,1.0,126.0,id_162,1,206.5,0.0,43.37,249.87,2016-04-08 13:00:00
25023.0,81.9,63.45,Venta de equipos,0,0,2016-03-03,1.0,128.0,id_643,1,81.9,0.0,17.2,99.1,2016-04-08 13:01:00
25026.0,484.77,358.17,Venta accesorios,0,0,2016-03-03,1.0,129.0,id_643,1,484.77,0.0,101.8,586.57,2016-04-08 13:01:00
25044.0,428.0,344.2,Venta de equipos,0,0,2016-03-08,1.0,141.0,id_643,1,428.0,0.0,89.88,517.88,2016-04-08 13:01:00
25045.0,428.0,344.2,Venta de equipos,0,0,2016-03-08,1.0,142.0,id_643,1,428.0,0.0,89.88,517.88,2016-04-08 13:01:00
25046.0,570.0,444.0,Venta de equipos,0,0,2016-03-08,1.0,143.0,id_643,1,570.0,0.0,119.7,689.7,2016-04-08 13:01:00
25052.0,23.4,18.0,RMM,0,0,2016-03-09,1.0,146.0,id_162,1,23.4,0.0,4.91,28.31,2016-04-08 13:00:00
25062.0,210.0,0.0,Horas sueltas,0,0,2016-03-14,1.0,152.0,id_643,1,459.0,0.0,96.39,555.39,2016-04-08 13:01:00
25008.0,565.16,441.5,Venta accesorios,0,0,2016-03-01,1.0,118.0,id_643,1,565.16,0.0,118.68,683.84,2016-04-08 13:01:00
25009.0,315.0,246.1,Venta de equipos,0,0,2016-03-01,1.0,119.0,id_643,1,315.0,0.0,66.15,381.15,2016-04-08 13:01:00
25029.0,115.0,89.8,Venta de equipos,0,0,2016-03-03,1.0,130.0,id_643,1,95.04,0.0,19.96,115.0,2016-04-08 13:01:00
25030.0,181.5,141.8,Venta de equipos,0,0,2016-03-03,1.0,131.0,id_643,1,181.5,0.0,38.12,219.62,2016-04-08 13:01:00
25075.0,153.93,120.26,Venta accesorios,0,0,2016-03-11,1.0,150.0,id_643,1,153.93,0.0,32.33,186.26,2016-04-08 13:01:00
25102.0,559.0,444.0,Venta de equipos,0,0,2016-03-23,1.0,169.0,id_643,1,559.0,0.0,117.39,676.39,2016-04-08 13:01:00
25103.0,559.0,444.0,Venta de equipos,0,0,2016-03-23,1.0,170.0,id_643,1,559.0,0.0,117.39,676.39,2016-04-08 13:01:00
25105.0,3683.0,1275.0,Desarrollo SW,0,0,2016-03-26,1.0,171.0,id_803,1,3683.0,0.0,773.43,4456.43,2016-04-08 13:01:00
25106.0,80.0,0.0,Mantenimiento SW,0,0,2016-03-28,1.0,172.0,id_913,1,80.0,0.0,16.8,96.8,2016-04-08 13:01:00
25062.0,249.0,0.0,Horas sueltas,0,0,2016-03-14,1.0,152.0,id_643,1,459.0,0.0,96.39,555.39,2016-04-08 13:01:00
25128.0,33.6,24.0,RMM,0,0,2016-04-05,1.0,194.0,id_913,1,33.6,0.0,7.06,40.66,2016-04-08 13:01:00
25135.0,620.0,477.0,Venta de equipos,0,0,2016-04-05,1.0,201.0,id_267,1,620.0,0.0,130.2,750.2,2016-04-08 13:00:00
25159.0,469.56,351.82,Venta accesorios,0,0,2016-04-12,1.0,212.0,id_643,1,469.56,0.0,98.61,568.17,2016-04-08 13:01:00
25163.0,28.16,22.0,Venta de equipos,0,0,2016-04-12,1.0,215.0,id_267,1,28.16,0.0,5.91,34.07,2016-04-08 13:00:00
25164.0,459.0,358.5,Venta accesorios,0,0,2016-04-12,1.0,216.0,id_162,1,459.0,0.0,96.39,555.39,2016-04-08 13:00:00
25176.0,153.0,0.0,Horas sueltas,0,0,2016-04-12,1.0,219.0,id_643,1,459.0,0.0,96.39,555.39,2016-04-08 13:01:00
25176.0,306.0,0.0,Horas sueltas,0,0,2016-04-12,1.0,219.0,id_643,1,459.0,0.0,96.39,555.39,2016-04-08 13:01:00
25177.0,79.0,56.2,Venta de equipos,0,0,2016-04-14,1.0,220.0,id_643,1,79.0,0.0,16.59,95.59,2016-04-08 13:01:00
25178.0,425.0,339.23,Venta de equipos,0,0,2016-04-14,1.0,221.0,id_643,1,425.0,0.0,89.25,514.25,2016-04-08 13:01:00
25193.0,3683.0,0.0,Desarrollo SW,0,0,2016-04-26,1.0,229.0,id_803,1,3683.0,0.0,773.43,4456.43,2016-04-08 13:01:00
25194.0,557.21,422.4,Venta accesorios,0,0,2016-04-26,1.0,230.0,id_643,1,557.21,0.0,117.01,674.22,2016-04-08 13:01:00
25198.0,115.0,0.0,Venta de equipos,0,0,2016-04-26,1.0,232.0,id_643,1,115.0,0.0,24.15,139.15,2016-04-08 13:01:00
25199.0,67.5,0.0,Venta de equipos,0,0,2016-04-26,1.0,233.0,id_643,1,67.5,0.0,14.18,81.68,2016-04-08 13:01:00
25200.0,90.0,0.0,Horas sueltas,0,0,2016-04-28,1.0,234.0,id_803,1,2270.0,0.0,476.7,2746.7,2016-04-08 13:01:00
25200.0,369.0,0.0,Horas sueltas,0,0,2016-04-28,1.0,234.0,id_803,1,2270.0,0.0,476.7,2746.7,2016-04-08 13:01:00
25200.0,3.0,2.0,Venta de equipos,0,0,2016-04-28,1.0,234.0,id_803,1,2270.0,0.0,476.7,2746.7,2016-04-08 13:01:00
25200.0,1808.0,1448.0,Licencia SW,0,0,2016-04-28,1.0,234.0,id_803,1,2270.0,0.0,476.7,2746.7,2016-04-08 13:01:00
25209.0,164.04,121.52,Venta accesorios,0,0,2016-04-30,1.0,240.0,id_643,1,164.04,0.0,34.45,198.49,2016-04-08 13:01:00
25215.0,45.0,0.0,Horas sueltas,0,0,2016-05-04,1.0,245.0,id_913,1,45.0,0.0,9.45,54.45,2016-04-08 13:01:00
25223.0,96.0,74.95,Venta de equipos,0,0,2016-05-04,1.0,253.0,id_803,1,96.0,0.0,20.16,116.16,2016-04-08 13:01:00
25236.0,120.0,0.0,SMI,0,0,2016-05-09,1.0,255.0,id_267,1,120.0,0.0,25.2,145.2,2016-04-08 13:00:00
25237.0,524.0,408.0,Venta de equipos,0,0,2016-05-09,1.0,256.0,id_913,1,689.0,0.0,144.69,833.69,2016-04-08 13:01:00
25237.0,150.0,0.0,Horas sueltas,0,0,2016-05-09,1.0,256.0,id_913,1,689.0,0.0,144.69,833.69,2016-04-08 13:01:00
25250.0,459.0,0.0,Horas sueltas,0,0,2016-05-10,1.0,269.0,id_162,1,459.0,0.0,96.39,555.39,2016-04-08 13:00:00
25259.0,382.5,0.0,Horas sueltas,0,0,2016-05-16,1.0,273.0,id_643,1,459.0,0.0,96.39,555.39,2016-04-08 13:01:00
25259.0,76.5,0.0,Horas sueltas,0,0,2016-05-16,1.0,273.0,id_643,1,459.0,0.0,96.39,555.39,2016-04-08 13:01:00
25264.0,141.96,109.0,Venta accesorios,0,0,2016-05-17,1.0,278.0,id_643,1,141.96,0.0,29.81,171.77,2016-04-08 13:01:00
25265.0,229.0,199.3,Venta de equipos,0,0,2016-05-17,1.0,279.0,id_267,1,229.0,0.0,48.09,277.09,2016-04-08 13:00:00
25297.0,79.0,61.81,Licencia SW,0,0,2016-05-24,1.0,293.0,id_162,1,79.0,0.0,16.59,95.59,2016-04-08 13:00:00
25302.0,3683.0,0.0,Desarrollo SW,0,0,2016-05-26,1.0,297.0,id_803,1,3683.0,0.0,773.43,4456.43,2016-04-08 13:01:00
25314.0,103.5,90.0,Mantenimiento SW,0,0,2016-05-31,1.0,308.0,id_162,1,103.5,0.0,21.74,125.24,2016-04-08 13:00:00
